trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,4.450858682935683e-08,4.4180209465854184e-08,5.5642669110449895e-08,5.5833604722148066e-08
trial_a,agent,4.450858682935683e-08,4.4180209465854184e-08,5.5642669110449895e-08,5.5833604722148066e-08
trial_a,ramp,6.484757828745044e-08,6.469812234642632e-08,4.8967158953969595e-08,4.9606382682404e-08
trial_b,physics,7.016274088155935e-08,6.793881717067621e-08,8.852740259244612e-07,8.837300025609306e-07
trial_b,agent,7.016274088155935e-08,6.793881717067621e-08,8.852740259244612e-07,8.837300025609306e-07
trial_b,ramp,8.180906418908535e-07,8.170800512497469e-07,6.384387038609536e-08,6.451969593522548e-08
trial_c,physics,5.5833604722148066e-08,5.5642669110449895e-08,4.4180209465854184e-08,4.450858682935683e-08
trial_c,agent,4.9606382682404e-08,4.896715895396961e-08,6.469812234642636e-08,6.484757828745044e-08
trial_c,ramp,4.9606382682404e-08,4.896715895396961e-08,6.469812234642636e-08,6.484757828745044e-08
trial_d,physics,8.837300025609312e-07,8.852740259244615e-07,6.793881717067617e-08,7.016274088155931e-08
trial_d,agent,6.451969593522561e-08,6.384387038609542e-08,8.170800512497465e-07,8.180906418908534e-07
trial_d,ramp,6.451969593522561e-08,6.384387038609542e-08,8.170800512497465e-07,8.180906418908534e-07
